지점,지점명,일시,적설(cm),3시간신적설(cm)
90,속초,2005-01-01 00:00,2.5,
90,속초,2005-01-01 03:00,2.5,
90,속초,2005-01-01 04:00,2.5,
90,속초,2005-01-01 05:00,2.5,
90,속초,2005-01-01 06:00,2.5,
90,속초,2005-01-01 07:00,2.5,
90,속초,2005-01-01 08:00,2.2,
90,속초,2005-01-01 09:00,2,
90,속초,2005-01-01 10:00,1.8,
90,속초,2005-01-01 11:00,1.5,
90,속초,2005-01-01 12:00,1,
90,속초,2005-01-01 13:00,.7,
90,속초,2005-01-01 14:00,.3,
90,속초,2005-01-01 15:00,.1,
90,속초,2005-01-15 21:00,,0
90,속초,2005-01-15 22:00,.2,
90,속초,2005-01-15 23:00,4.5,
90,속초,2005-01-16 00:00,7,7
90,속초,2005-01-16 01:00,7.3,
90,속초,2005-01-16 02:00,6,
90,속초,2005-01-16 03:00,5,.3
90,속초,2005-01-16 04:00,4.5,
90,속초,2005-01-16 05:00,4.3,
90,속초,2005-01-16 06:00,4.1,0
90,속초,2005-01-16 07:00,3.5,
90,속초,2005-01-16 08:00,3,
90,속초,2005-01-16 09:00,3,0
90,속초,2005-01-16 10:00,2.9,
90,속초,2005-01-16 11:00,2.8,
90,속초,2005-01-16 12:00,2.7,0
90,속초,2005-01-16 13:00,2.7,
90,속초,2005-01-16 14:00,2.5,
90,속초,2005-01-16 15:00,2.4,
90,속초,2005-01-16 16:00,1.5,
90,속초,2005-01-16 17:00,1,
90,속초,2005-01-16 18:00,.9,
90,속초,2005-01-16 21:00,.9,
90,속초,2005-01-17 00:00,.9,
90,속초,2005-01-17 03:00,.9,
90,속초,2005-01-17 04:00,.9,
90,속초,2005-01-17 05:00,.9,
90,속초,2005-01-17 06:00,.9,
90,속초,2005-01-17 07:00,.9,
90,속초,2005-01-17 08:00,.9,
90,속초,2005-01-17 09:00,.5,
90,속초,2005-01-25 12:00,.5,.5
90,속초,2005-01-25 13:00,.8,
90,속초,2005-01-25 14:00,1,
90,속초,2005-01-25 15:00,.8,.3
90,속초,2005-01-25 16:00,.6,
90,속초,2005-01-25 17:00,1,
90,속초,2005-01-25 18:00,1.3,.5
90,속초,2005-01-25 19:00,1.6,
90,속초,2005-01-25 20:00,2,
90,속초,2005-01-25 21:00,2.1,.8
90,속초,2005-01-25 22:00,2.3,
90,속초,2005-01-25 23:00,2.5,
90,속초,2005-01-26 00:00,2.6,.5
90,속초,2005-01-26 01:00,2.7,
90,속초,2005-01-26 02:00,2.9,
90,속초,2005-01-26 03:00,3.2,.7
90,속초,2005-01-26 04:00,3.4,
90,속초,2005-01-26 05:00,3.5,
90,속초,2005-01-26 06:00,3.6,.5
90,속초,2005-01-26 07:00,3.6,
90,속초,2005-01-26 08:00,3.6,
90,속초,2005-01-26 09:00,3.6,
90,속초,2005-01-26 10:00,3.6,
90,속초,2005-01-26 11:00,3.6,
90,속초,2005-01-26 12:00,3,
90,속초,2005-01-26 13:00,2.5,
90,속초,2005-01-26 14:00,2,
90,속초,2005-01-26 15:00,1.4,
90,속초,2005-01-26 16:00,1,
90,속초,2005-01-26 17:00,.7,
90,속초,2005-01-26 18:00,.6,
90,속초,2005-01-26 21:00,.5,
90,속초,2005-01-27 00:00,.5,
90,속초,2005-01-27 03:00,.5,
90,속초,2005-01-27 04:00,.5,
90,속초,2005-01-27 05:00,.5,
90,속초,2005-01-27 06:00,.5,
90,속초,2005-01-27 07:00,.5,
90,속초,2005-01-27 08:00,.5,
90,속초,2005-01-27 09:00,.5,
90,속초,2005-01-27 10:00,.5,
90,속초,2005-01-27 11:00,.5,
90,속초,2005-01-27 12:00,.4,
90,속초,2005-01-27 13:00,.1,
90,속초,2005-02-08 06:00,.2,.2
90,속초,2005-02-08 07:00,.3,
90,속초,2005-02-08 08:00,.3,
90,속초,2005-02-08 09:00,.1,.1
90,속초,2005-02-16 03:00,.1,.1
90,속초,2005-02-16 04:00,.3,
90,속초,2005-02-16 05:00,.3,
90,속초,2005-02-16 06:00,.7,.6
90,속초,2005-02-16 07:00,.9,
90,속초,2005-02-16 08:00,1.2,
90,속초,2005-02-16 09:00,1.4,.7
90,속초,2005-02-16 10:00,1.5,
90,속초,2005-02-16 11:00,1.6,
90,속초,2005-02-16 12:00,1.2,0
90,속초,2005-02-16 13:00,1,
90,속초,2005-02-16 14:00,1,
90,속초,2005-02-16 15:00,.8,
90,속초,2005-02-16 16:00,1.4,
90,속초,2005-02-16 17:00,1.8,
90,속초,2005-02-16 18:00,2,1.3
90,속초,2005-02-16 19:00,2.1,
90,속초,2005-02-16 20:00,2.2,
90,속초,2005-02-16 21:00,2.2,.2
90,속초,2005-02-17 00:00,2.1,
90,속초,2005-02-17 03:00,2.1,
90,속초,2005-02-17 04:00,2,
90,속초,2005-02-17 05:00,2,
90,속초,2005-02-17 06:00,1.9,
90,속초,2005-02-17 07:00,1.8,
90,속초,2005-02-17 08:00,1.7,
90,속초,2005-02-17 09:00,1.6,
90,속초,2005-02-17 10:00,1.3,
90,속초,2005-02-17 11:00,.7,
90,속초,2005-02-17 12:00,.3,
90,속초,2005-03-04 01:00,.2,
90,속초,2005-03-04 02:00,2.2,
90,속초,2005-03-04 03:00,3.7,3.7
90,속초,2005-03-04 04:00,9.7,
90,속초,2005-03-04 05:00,17.8,
90,속초,2005-03-04 06:00,26.3,23.5
90,속초,2005-03-04 07:00,32.5,
90,속초,2005-03-04 08:00,33.2,
90,속초,2005-03-04 09:00,34.5,8.5
90,속초,2005-03-04 10:00,40,
90,속초,2005-03-04 11:00,42.2,
90,속초,2005-03-04 12:00,44.6,12.2
90,속초,2005-03-04 13:00,47.7,
90,속초,2005-03-04 14:00,51.3,
90,속초,2005-03-04 15:00,54,11.7
90,속초,2005-03-04 16:00,54,
90,속초,2005-03-04 17:00,54,
90,속초,2005-03-04 18:00,54,.3
90,속초,2005-03-04 19:00,54,
90,속초,2005-03-04 20:00,54,
90,속초,2005-03-04 21:00,54,
90,속초,2005-03-04 22:00,54,
90,속초,2005-03-04 23:00,54,
90,속초,2005-03-05 00:00,54,
90,속초,2005-03-05 03:00,54,
90,속초,2005-03-05 04:00,53,
90,속초,2005-03-05 05:00,53,
90,속초,2005-03-05 06:00,53,
90,속초,2005-03-05 07:00,52,
90,속초,2005-03-05 08:00,52,
90,속초,2005-03-05 09:00,52,
90,속초,2005-03-05 10:00,52,
90,속초,2005-03-05 11:00,50.5,
90,속초,2005-03-05 12:00,49,
90,속초,2005-03-05 13:00,49,
90,속초,2005-03-05 14:00,51.5,
90,속초,2005-03-05 15:00,54.6,5.7
90,속초,2005-03-05 16:00,54.7,
90,속초,2005-03-05 17:00,55,
90,속초,2005-03-05 18:00,55,.8
90,속초,2005-03-05 19:00,55,
90,속초,2005-03-05 20:00,55,
90,속초,2005-03-05 21:00,55,
90,속초,2005-03-06 00:00,55,
90,속초,2005-03-06 03:00,55,
90,속초,2005-03-06 04:00,55,
90,속초,2005-03-06 05:00,55,
90,속초,2005-03-06 06:00,55,
90,속초,2005-03-06 07:00,55,
90,속초,2005-03-06 08:00,55,
90,속초,2005-03-06 09:00,54,
90,속초,2005-03-06 10:00,53,
90,속초,2005-03-06 11:00,50,
90,속초,2005-03-06 12:00,47,
90,속초,2005-03-06 13:00,43.5,
90,속초,2005-03-06 14:00,39.6,
90,속초,2005-03-06 15:00,35.4,
90,속초,2005-03-06 16:00,30.8,
