지점,지점명,일시,적설(cm),3시간신적설(cm)
90,속초,2008-01-11 09:00,.3,.3
90,속초,2008-01-11 10:00,1.1,
90,속초,2008-01-11 11:00,2.9,
90,속초,2008-01-11 12:00,3.7,3.4
90,속초,2008-01-11 13:00,3.8,
90,속초,2008-01-11 14:00,4.5,
90,속초,2008-01-11 15:00,4.9,1.2
90,속초,2008-01-11 16:00,5.2,
90,속초,2008-01-11 17:00,5.5,
90,속초,2008-01-11 18:00,5.8,.9
90,속초,2008-01-11 19:00,5.9,
90,속초,2008-01-11 20:00,5.9,
90,속초,2008-01-11 21:00,5.6,.1
90,속초,2008-01-11 22:00,5,
90,속초,2008-01-11 23:00,4.5,
90,속초,2008-01-12 00:00,4,0
90,속초,2008-01-12 01:00,3.5,
90,속초,2008-01-12 02:00,2.8,
90,속초,2008-01-12 03:00,2,
90,속초,2008-01-12 04:00,1.8,
90,속초,2008-01-12 05:00,1.7,
90,속초,2008-01-12 06:00,1,
90,속초,2008-01-12 07:00,.8,
90,속초,2008-01-12 08:00,.8,
90,속초,2008-01-12 09:00,1.1,.3
90,속초,2008-01-12 10:00,1.5,
90,속초,2008-01-12 11:00,1.7,
90,속초,2008-01-12 12:00,1.7,.6
90,속초,2008-01-12 13:00,2.6,
90,속초,2008-01-12 14:00,3.4,
90,속초,2008-01-12 15:00,4.5,2.8
90,속초,2008-01-12 16:00,5.5,
90,속초,2008-01-12 17:00,6.7,
90,속초,2008-01-12 18:00,7.6,3.1
90,속초,2008-01-12 19:00,9.6,
90,속초,2008-01-12 20:00,9.7,
90,속초,2008-01-12 21:00,9.7,2.1
90,속초,2008-01-12 22:00,9.9,
90,속초,2008-01-12 23:00,10,
90,속초,2008-01-13 00:00,10.5,.8
90,속초,2008-01-13 01:00,10.8,
90,속초,2008-01-13 02:00,11.1,
90,속초,2008-01-13 03:00,11.6,1.2
90,속초,2008-01-13 04:00,11.6,
90,속초,2008-01-13 05:00,11.6,
90,속초,2008-01-13 06:00,11.6,0
90,속초,2008-01-13 07:00,11.6,
90,속초,2008-01-13 08:00,11.5,
90,속초,2008-01-13 09:00,13.5,2
90,속초,2008-01-13 10:00,16.5,
90,속초,2008-01-13 11:00,16.8,
90,속초,2008-01-13 12:00,16.8,6.3
90,속초,2008-01-13 13:00,16,
90,속초,2008-01-13 14:00,15.5,
90,속초,2008-01-13 15:00,13.8,0
90,속초,2008-01-13 16:00,13,
90,속초,2008-01-13 17:00,13,
90,속초,2008-01-13 18:00,13,0
90,속초,2008-01-13 19:00,12.7,
90,속초,2008-01-13 20:00,12.7,
90,속초,2008-01-13 21:00,12.7,0
90,속초,2008-01-13 22:00,12.7,
90,속초,2008-01-13 23:00,12.7,
90,속초,2008-01-14 00:00,12.7,
90,속초,2008-01-14 01:00,12.7,
90,속초,2008-01-14 02:00,12.7,
90,속초,2008-01-14 03:00,12.7,
90,속초,2008-01-14 04:00,12.7,
90,속초,2008-01-14 05:00,12.7,
90,속초,2008-01-14 06:00,12.7,
90,속초,2008-01-14 07:00,12.5,
90,속초,2008-01-14 08:00,12.2,
90,속초,2008-01-14 09:00,12.2,0
90,속초,2008-01-14 10:00,12,
90,속초,2008-01-14 11:00,11.8,
90,속초,2008-01-14 12:00,11.4,
90,속초,2008-01-14 13:00,11.2,
90,속초,2008-01-14 14:00,11.1,
90,속초,2008-01-14 15:00,11,.2
90,속초,2008-01-14 16:00,10.5,
90,속초,2008-01-14 17:00,10.2,
90,속초,2008-01-14 18:00,10.2,
90,속초,2008-01-14 21:00,10,
90,속초,2008-01-15 00:00,10,
90,속초,2008-01-15 03:00,10,
90,속초,2008-01-15 04:00,10,
90,속초,2008-01-15 05:00,10,
90,속초,2008-01-15 06:00,10,
90,속초,2008-01-15 07:00,10,
90,속초,2008-01-15 08:00,9.7,
90,속초,2008-01-15 09:00,9.5,
90,속초,2008-01-15 10:00,9.3,
90,속초,2008-01-15 11:00,8.9,
90,속초,2008-01-15 12:00,8.6,
90,속초,2008-01-15 13:00,8,
90,속초,2008-01-15 14:00,7.7,
90,속초,2008-01-15 15:00,7.5,
90,속초,2008-01-15 16:00,7.4,
90,속초,2008-01-15 17:00,7.2,
90,속초,2008-01-15 18:00,7.1,
90,속초,2008-01-15 21:00,7.1,
90,속초,2008-01-16 00:00,7.1,
90,속초,2008-01-16 03:00,7.1,
90,속초,2008-01-16 04:00,7.1,
90,속초,2008-01-16 05:00,7.1,
90,속초,2008-01-16 06:00,7.1,
90,속초,2008-01-16 07:00,7.1,
90,속초,2008-01-16 08:00,7.1,
90,속초,2008-01-16 09:00,7.1,
90,속초,2008-01-16 10:00,6.3,
90,속초,2008-01-16 11:00,6,
90,속초,2008-01-16 12:00,5.5,
90,속초,2008-01-16 13:00,5.3,
90,속초,2008-01-16 14:00,5,
90,속초,2008-01-16 15:00,4.9,
90,속초,2008-01-16 16:00,4.8,
90,속초,2008-01-16 17:00,4.8,
90,속초,2008-01-16 18:00,4.8,
90,속초,2008-01-16 19:00,4.8,
90,속초,2008-01-16 21:00,4.8,
90,속초,2008-01-17 00:00,4.8,
90,속초,2008-01-17 03:00,4.8,
90,속초,2008-01-17 04:00,4.8,
90,속초,2008-01-17 05:00,4.8,
90,속초,2008-01-17 06:00,4.8,
90,속초,2008-01-17 07:00,4.8,
90,속초,2008-01-17 08:00,4.8,
90,속초,2008-01-17 09:00,4.8,
90,속초,2008-01-17 10:00,4.8,
90,속초,2008-01-17 11:00,4.8,
90,속초,2008-01-17 12:00,4.8,
90,속초,2008-01-17 13:00,4.7,
90,속초,2008-01-17 14:00,4.7,
90,속초,2008-01-17 15:00,4.7,
90,속초,2008-01-17 16:00,4.7,
90,속초,2008-01-17 17:00,4.7,
90,속초,2008-01-17 18:00,4.7,
90,속초,2008-01-17 21:00,4.7,
90,속초,2008-01-18 00:00,4.7,
