지점,지점명,일시,적설(cm),3시간신적설(cm)
90,속초,2014-01-04 09:00,0,0
90,속초,2014-01-04 10:00,.5,
90,속초,2014-01-04 11:00,1.5,
90,속초,2014-01-04 12:00,2.2,2.2
90,속초,2014-01-04 13:00,3,
90,속초,2014-01-04 14:00,3.3,
90,속초,2014-01-04 15:00,4,1.8
90,속초,2014-01-04 16:00,5,
90,속초,2014-01-04 17:00,5.2,
90,속초,2014-01-04 18:00,5.6,1.6
90,속초,2014-01-04 19:00,6,
90,속초,2014-01-04 20:00,6,
90,속초,2014-01-04 21:00,6,.4
90,속초,2014-01-04 22:00,6,
90,속초,2014-01-04 23:00,6,
90,속초,2014-01-05 00:00,6,
90,속초,2014-01-05 03:00,6,
90,속초,2014-01-05 04:00,6,
90,속초,2014-01-05 05:00,6,
90,속초,2014-01-05 06:00,6,
90,속초,2014-01-05 07:00,6,
90,속초,2014-01-05 08:00,5.8,
90,속초,2014-01-05 09:00,5.7,
90,속초,2014-01-05 10:00,5.6,
90,속초,2014-01-05 11:00,5.5,
90,속초,2014-01-05 12:00,5.2,
90,속초,2014-01-05 13:00,4,
90,속초,2014-01-05 14:00,3.8,
90,속초,2014-01-05 15:00,3.3,
90,속초,2014-01-05 16:00,3,
90,속초,2014-01-05 17:00,2.8,
90,속초,2014-01-05 18:00,2.8,
90,속초,2014-01-05 21:00,2.8,
90,속초,2014-01-06 00:00,2.8,
90,속초,2014-01-06 03:00,2.8,
90,속초,2014-01-06 04:00,2.8,
90,속초,2014-01-06 05:00,2.8,
90,속초,2014-01-06 06:00,2.8,
90,속초,2014-01-06 07:00,2.8,
90,속초,2014-01-06 08:00,2.8,
90,속초,2014-01-06 09:00,2.8,
90,속초,2014-01-06 10:00,2.8,
90,속초,2014-01-06 11:00,2.8,
90,속초,2014-01-06 12:00,2.8,
90,속초,2014-01-06 13:00,2.6,
90,속초,2014-01-06 14:00,2.4,
90,속초,2014-01-06 15:00,2.3,
90,속초,2014-01-06 16:00,2.2,
90,속초,2014-01-06 17:00,2.2,
90,속초,2014-01-06 18:00,2.2,
90,속초,2014-01-06 21:00,2.2,
90,속초,2014-01-07 00:00,2.2,
90,속초,2014-01-07 03:00,2.2,
90,속초,2014-01-07 04:00,2.2,
90,속초,2014-01-07 05:00,2.2,
90,속초,2014-01-07 06:00,2.2,
90,속초,2014-01-07 07:00,2.2,
90,속초,2014-01-07 08:00,2.2,
90,속초,2014-01-07 09:00,2.2,
90,속초,2014-01-07 10:00,2.2,
90,속초,2014-01-07 11:00,2.2,
90,속초,2014-01-07 12:00,2.2,
90,속초,2014-01-07 13:00,2,
90,속초,2014-01-07 14:00,1.7,
90,속초,2014-01-07 15:00,1.4,
90,속초,2014-01-07 16:00,1.3,
90,속초,2014-01-07 17:00,1.2,
90,속초,2014-01-07 18:00,1.1,
90,속초,2014-01-07 21:00,.8,
90,속초,2014-01-20 10:00,0,
90,속초,2014-01-20 12:00,0,0
90,속초,2014-01-21 09:00,1.8,1.8
90,속초,2014-01-21 10:00,7,
90,속초,2014-01-21 11:00,10.8,
90,속초,2014-01-21 12:00,12,10.2
90,속초,2014-01-21 13:00,13.2,
90,속초,2014-01-21 14:00,13,
90,속초,2014-01-21 15:00,13,1.3
90,속초,2014-01-21 16:00,13,
90,속초,2014-01-21 17:00,12.8,
90,속초,2014-01-21 18:00,12.2,
90,속초,2014-01-21 21:00,12,
90,속초,2014-01-22 00:00,12,
90,속초,2014-01-22 03:00,12,
90,속초,2014-01-22 04:00,12,
90,속초,2014-01-22 05:00,12,
90,속초,2014-01-22 06:00,12,
90,속초,2014-01-22 07:00,12,
90,속초,2014-01-22 08:00,11.7,
90,속초,2014-01-22 09:00,11.1,
90,속초,2014-01-22 10:00,10.7,
90,속초,2014-01-22 11:00,10.3,
90,속초,2014-01-22 12:00,9.5,
90,속초,2014-01-22 13:00,7.5,
90,속초,2014-01-22 14:00,7,
90,속초,2014-01-22 15:00,6.1,
90,속초,2014-01-22 16:00,6,
90,속초,2014-01-22 17:00,6,
90,속초,2014-01-22 18:00,5.9,
90,속초,2014-01-22 21:00,5.9,
90,속초,2014-01-23 00:00,5.9,
90,속초,2014-01-23 03:00,5.9,
90,속초,2014-01-23 04:00,5.9,
90,속초,2014-01-23 05:00,5.9,
90,속초,2014-01-23 06:00,5.9,
90,속초,2014-01-23 07:00,5.9,
90,속초,2014-01-23 08:00,5.9,
90,속초,2014-01-23 09:00,5.8,
90,속초,2014-01-23 10:00,5.7,
90,속초,2014-01-23 11:00,5.6,
90,속초,2014-01-23 12:00,5.4,
90,속초,2014-01-23 13:00,4.6,
90,속초,2014-01-23 14:00,3.8,
90,속초,2014-01-23 15:00,3,
90,속초,2014-01-23 16:00,3,
90,속초,2014-01-23 17:00,3,
90,속초,2014-01-23 18:00,2.9,
90,속초,2014-01-23 21:00,2.9,
90,속초,2014-01-24 00:00,2.9,
90,속초,2014-01-24 03:00,2.9,
90,속초,2014-01-24 04:00,2.9,
90,속초,2014-01-24 05:00,2.9,
90,속초,2014-01-24 06:00,2.8,
90,속초,2014-01-24 07:00,2.8,
90,속초,2014-01-24 08:00,2.5,
90,속초,2014-01-24 09:00,1.8,
90,속초,2014-01-24 10:00,1.7,
90,속초,2014-01-24 11:00,1.6,
90,속초,2014-01-24 12:00,1.6,
90,속초,2014-01-24 13:00,1.6,
90,속초,2014-01-24 14:00,1.5,
90,속초,2014-01-24 15:00,1.3,
90,속초,2014-01-24 17:00,.9,
90,속초,2014-01-24 18:00,.7,
90,속초,2014-01-24 21:00,.7,
90,속초,2014-01-25 00:00,.7,
90,속초,2014-01-25 03:00,.2,
90,속초,2014-01-26 07:00,.1,
90,속초,2014-01-26 08:00,.1,
90,속초,2014-01-26 09:00,.2,.2
90,속초,2014-01-26 10:00,.2,
90,속초,2014-01-26 11:00,.1,
90,속초,2014-02-01 15:00,.3,.3
90,속초,2014-02-01 16:00,.5,
90,속초,2014-02-01 17:00,1,
90,속초,2014-02-01 18:00,1,.7
90,속초,2014-02-01 19:00,2,
90,속초,2014-02-01 20:00,2.5,
90,속초,2014-02-01 21:00,2.5,1.5
90,속초,2014-02-01 22:00,2.4,
90,속초,2014-02-01 23:00,2.3,
90,속초,2014-02-02 00:00,2.2,
90,속초,2014-02-02 01:00,2.2,
90,속초,2014-02-02 02:00,2.2,
90,속초,2014-02-02 03:00,1.9,
90,속초,2014-02-02 04:00,1.8,
90,속초,2014-02-02 05:00,1.8,
90,속초,2014-02-02 06:00,1.8,
90,속초,2014-02-02 07:00,1.8,
90,속초,2014-02-02 08:00,1.8,
90,속초,2014-02-02 09:00,1.5,
90,속초,2014-02-02 10:00,1.3,
90,속초,2014-02-02 11:00,1,
90,속초,2014-02-07 07:00,.1,
90,속초,2014-02-07 08:00,1,
90,속초,2014-02-07 09:00,2,2
90,속초,2014-02-07 10:00,3,
90,속초,2014-02-07 11:00,4.6,
90,속초,2014-02-07 12:00,5.5,3.5
90,속초,2014-02-07 13:00,5.8,
90,속초,2014-02-07 14:00,6,
90,속초,2014-02-07 15:00,6.7,1.2
90,속초,2014-02-07 16:00,7.2,
90,속초,2014-02-07 17:00,8.6,
90,속초,2014-02-07 18:00,9.1,2.4
90,속초,2014-02-07 19:00,9.8,
90,속초,2014-02-07 20:00,9.8,
90,속초,2014-02-07 21:00,10,.9
90,속초,2014-02-07 22:00,11,
90,속초,2014-02-07 23:00,11,
90,속초,2014-02-08 00:00,11,1.1
90,속초,2014-02-08 01:00,11.2,
90,속초,2014-02-08 02:00,11.6,
90,속초,2014-02-08 03:00,12.2,1.5
90,속초,2014-02-08 04:00,13.2,
90,속초,2014-02-08 05:00,14,
90,속초,2014-02-08 06:00,14.2,3
90,속초,2014-02-08 07:00,14.4,
90,속초,2014-02-08 08:00,14.5,
90,속초,2014-02-08 09:00,15.1,.9
90,속초,2014-02-08 10:00,15.1,
90,속초,2014-02-08 11:00,15.2,
90,속초,2014-02-08 12:00,15.3,.2
90,속초,2014-02-08 13:00,15.3,
90,속초,2014-02-08 14:00,15.3,
90,속초,2014-02-08 15:00,15.3,.8
90,속초,2014-02-08 16:00,15.3,
90,속초,2014-02-08 17:00,15.4,
90,속초,2014-02-08 18:00,15.5,.7
90,속초,2014-02-08 19:00,15.7,
90,속초,2014-02-08 20:00,15.7,
90,속초,2014-02-08 21:00,16,1.7
90,속초,2014-02-08 22:00,16.5,
90,속초,2014-02-08 23:00,18,
90,속초,2014-02-09 00:00,21,7.9
90,속초,2014-02-09 01:00,25,
90,속초,2014-02-09 02:00,28,
90,속초,2014-02-09 03:00,31,11
90,속초,2014-02-09 04:00,32,
90,속초,2014-02-09 05:00,32.5,
90,속초,2014-02-09 06:00,32.6,3.1
90,속초,2014-02-09 07:00,32.7,
90,속초,2014-02-09 08:00,34,
90,속초,2014-02-09 09:00,37,4.9
90,속초,2014-02-09 10:00,40,
90,속초,2014-02-09 11:00,42.5,
90,속초,2014-02-09 12:00,43,6.5
90,속초,2014-02-09 13:00,44.5,
90,속초,2014-02-09 14:00,46,
90,속초,2014-02-09 15:00,48,5.5
90,속초,2014-02-09 16:00,49.3,
90,속초,2014-02-09 17:00,50,
90,속초,2014-02-09 18:00,51.5,4
90,속초,2014-02-09 19:00,52.5,
90,속초,2014-02-09 20:00,54,
90,속초,2014-02-09 21:00,55,3.7
90,속초,2014-02-09 22:00,56,
90,속초,2014-02-09 23:00,57,
90,속초,2014-02-10 00:00,58,3
90,속초,2014-02-10 01:00,60,
90,속초,2014-02-10 02:00,62.5,
90,속초,2014-02-10 03:00,65.5,7.5
90,속초,2014-02-10 04:00,67,
90,속초,2014-02-10 05:00,68.5,
90,속초,2014-02-10 06:00,69,3.5
90,속초,2014-02-10 07:00,69.5,
90,속초,2014-02-10 08:00,69.8,
90,속초,2014-02-10 09:00,70,1.5
90,속초,2014-02-10 10:00,70.5,
90,속초,2014-02-10 11:00,71,
90,속초,2014-02-10 12:00,72,3.5
90,속초,2014-02-10 13:00,72.5,
90,속초,2014-02-10 14:00,73.5,
90,속초,2014-02-10 15:00,74,3.5
90,속초,2014-02-10 16:00,75,
90,속초,2014-02-10 17:00,75.5,
90,속초,2014-02-10 18:00,76,3.5
90,속초,2014-02-10 19:00,76.4,
90,속초,2014-02-10 20:00,77.5,
90,속초,2014-02-10 21:00,78.7,3.5
90,속초,2014-02-10 22:00,79,
90,속초,2014-02-10 23:00,79.5,
90,속초,2014-02-11 00:00,79.5,1.3
90,속초,2014-02-11 01:00,79.5,
90,속초,2014-02-11 02:00,79.8,
90,속초,2014-02-11 03:00,80,1.9
90,속초,2014-02-11 04:00,80.1,
90,속초,2014-02-11 05:00,80.2,
90,속초,2014-02-11 06:00,80.3,1
90,속초,2014-02-11 07:00,80.3,
90,속초,2014-02-11 08:00,80.3,
90,속초,2014-02-11 09:00,80.4,.4
90,속초,2014-02-11 10:00,80.7,
90,속초,2014-02-11 11:00,82.2,
90,속초,2014-02-11 12:00,82.3,1.9
90,속초,2014-02-11 13:00,83.2,
90,속초,2014-02-11 14:00,83.3,
90,속초,2014-02-11 15:00,83.4,1.7
90,속초,2014-02-11 16:00,83.4,
90,속초,2014-02-11 17:00,83.4,
90,속초,2014-02-11 18:00,83.3,.4
90,속초,2014-02-11 19:00,83.5,
90,속초,2014-02-11 20:00,83.5,
90,속초,2014-02-11 21:00,83.5,1
90,속초,2014-02-11 22:00,83.5,
90,속초,2014-02-12 00:00,81.5,
90,속초,2014-02-12 03:00,80,
90,속초,2014-02-12 04:00,79,
90,속초,2014-02-12 05:00,79,
90,속초,2014-02-12 06:00,78,
90,속초,2014-02-12 07:00,78,
90,속초,2014-02-12 08:00,77,
90,속초,2014-02-12 09:00,76,
90,속초,2014-02-12 10:00,74,
90,속초,2014-02-12 11:00,72,
90,속초,2014-02-12 12:00,69,
90,속초,2014-02-12 13:00,66,
90,속초,2014-02-12 14:00,64,
90,속초,2014-02-12 15:00,61,
90,속초,2014-02-12 16:00,58,
90,속초,2014-02-12 17:00,55,
90,속초,2014-02-12 18:00,52,
90,속초,2014-02-12 21:00,50,
90,속초,2014-02-13 00:00,49,
90,속초,2014-02-13 01:00,49,
90,속초,2014-02-13 02:00,49.5,
90,속초,2014-02-13 03:00,51.5,2.5
90,속초,2014-02-13 04:00,54,
90,속초,2014-02-13 05:00,56,
90,속초,2014-02-13 06:00,57.5,6
90,속초,2014-02-13 07:00,59,
90,속초,2014-02-13 08:00,61.5,
90,속초,2014-02-13 09:00,61.5,5
90,속초,2014-02-13 10:00,61.7,
90,속초,2014-02-13 11:00,62,
90,속초,2014-02-13 12:00,63,4.5
90,속초,2014-02-13 13:00,64,
90,속초,2014-02-13 14:00,62,
90,속초,2014-02-13 15:00,58,2.2
90,속초,2014-02-13 16:00,56,
90,속초,2014-02-13 17:00,55,
90,속초,2014-02-13 18:00,54,.1
90,속초,2014-02-13 19:00,54,
90,속초,2014-02-13 20:00,54,
90,속초,2014-02-13 21:00,54,
90,속초,2014-02-13 22:00,53,
90,속초,2014-02-13 23:00,53,
90,속초,2014-02-14 00:00,53.1,.3
90,속초,2014-02-14 01:00,53.1,
90,속초,2014-02-14 02:00,53.1,
90,속초,2014-02-14 03:00,53.1,.4
90,속초,2014-02-14 04:00,53.1,
90,속초,2014-02-14 05:00,53.1,
90,속초,2014-02-14 06:00,53.1,.2
90,속초,2014-02-14 07:00,53.1,
90,속초,2014-02-14 08:00,53.1,
90,속초,2014-02-14 09:00,54,1.6
90,속초,2014-02-14 10:00,54.5,
90,속초,2014-02-14 11:00,54.6,
90,속초,2014-02-14 12:00,54.8,2.6
90,속초,2014-02-14 13:00,53.8,
90,속초,2014-02-14 14:00,52.4,
90,속초,2014-02-14 15:00,52.4,
90,속초,2014-02-14 16:00,52,
90,속초,2014-02-14 17:00,51,
90,속초,2014-02-14 18:00,49,
90,속초,2014-02-14 19:00,48,
90,속초,2014-02-14 21:00,47.8,
90,속초,2014-02-15 00:00,47,
90,속초,2014-02-15 03:00,46.5,
90,속초,2014-02-15 04:00,46.5,
90,속초,2014-02-15 05:00,46.5,
90,속초,2014-02-15 06:00,46.5,
90,속초,2014-02-15 07:00,46.5,
90,속초,2014-02-15 08:00,46.5,
90,속초,2014-02-15 09:00,46.5,
90,속초,2014-02-15 10:00,46.1,
90,속초,2014-02-15 11:00,45.6,
90,속초,2014-02-15 12:00,44.2,
90,속초,2014-02-15 13:00,43.5,
90,속초,2014-02-15 14:00,42.8,
90,속초,2014-02-15 15:00,41.5,
90,속초,2014-02-15 16:00,41,
90,속초,2014-02-15 17:00,40.5,
90,속초,2014-02-15 18:00,40,
90,속초,2014-02-15 21:00,40,
90,속초,2014-02-16 00:00,40,
90,속초,2014-02-16 03:00,40,
90,속초,2014-02-16 04:00,40,
90,속초,2014-02-16 05:00,40,
90,속초,2014-02-16 06:00,40,
90,속초,2014-02-16 07:00,40,
90,속초,2014-02-16 08:00,40,
90,속초,2014-02-16 09:00,40,
90,속초,2014-02-16 10:00,39.5,
90,속초,2014-02-16 11:00,39,
90,속초,2014-02-16 12:00,38.5,
90,속초,2014-02-16 13:00,38,
90,속초,2014-02-16 14:00,37,
90,속초,2014-02-16 15:00,36.5,
90,속초,2014-02-16 16:00,36,
90,속초,2014-02-16 17:00,35.5,
90,속초,2014-02-16 18:00,34.5,
90,속초,2014-02-16 21:00,33,
90,속초,2014-02-17 00:00,32,
90,속초,2014-02-17 03:00,32,
90,속초,2014-02-17 04:00,32,
90,속초,2014-02-17 05:00,32,
90,속초,2014-02-17 06:00,32,
90,속초,2014-02-17 07:00,32,
90,속초,2014-02-17 08:00,32,
90,속초,2014-02-17 09:00,32,
90,속초,2014-02-17 10:00,32,
90,속초,2014-02-17 11:00,32.2,
90,속초,2014-02-17 12:00,32,.2
90,속초,2014-02-17 13:00,32,
90,속초,2014-02-17 14:00,32.2,
90,속초,2014-02-17 15:00,32.2,.2
90,속초,2014-02-17 16:00,32,
90,속초,2014-02-17 17:00,32,
90,속초,2014-02-17 18:00,33,1
90,속초,2014-02-17 19:00,33.5,
90,속초,2014-02-17 20:00,33.5,
