지점,지점명,일시,적설(cm),3시간신적설(cm)
90,속초,2016-01-29 13:00,.5,
90,속초,2016-01-29 14:00,.5,
90,속초,2016-01-29 15:00,.5,
90,속초,2016-01-29 16:00,0,
90,속초,2016-01-29 17:00,.5,
90,속초,2016-01-29 18:00,.5,
90,속초,2016-01-29 19:00,.5,
90,속초,2016-01-29 20:00,.5,
90,속초,2016-01-29 21:00,.5,
90,속초,2016-01-29 22:00,.5,
90,속초,2016-01-29 23:00,1,
90,속초,2016-01-30 00:00,1.5,
90,속초,2016-01-30 01:00,1.5,
90,속초,2016-01-30 02:00,1.5,
90,속초,2016-01-30 03:00,1.5,
90,속초,2016-01-30 04:00,1.5,
90,속초,2016-01-30 05:00,2,
90,속초,2016-01-30 06:00,2.5,
90,속초,2016-01-30 07:00,3.5,
90,속초,2016-01-30 08:00,3.5,
90,속초,2016-01-30 09:00,3.5,
90,속초,2016-01-30 10:00,3.5,
90,속초,2016-01-30 11:00,3.5,
90,속초,2016-01-30 12:00,3.5,
90,속초,2016-01-30 13:00,3.5,
90,속초,2016-01-30 15:00,3,
90,속초,2016-01-30 18:00,2.5,
90,속초,2016-01-30 21:00,2.5,
90,속초,2016-01-31 00:00,2.5,
90,속초,2016-01-31 03:00,2.5,
90,속초,2016-01-31 06:00,2.5,
90,속초,2016-01-31 09:00,2.5,
90,속초,2016-01-31 12:00,2,
90,속초,2016-01-31 15:00,1.5,
90,속초,2016-01-31 18:00,1.5,
90,속초,2016-01-31 21:00,1.5,
90,속초,2016-02-01 00:00,1.5,
90,속초,2016-02-01 03:00,1.5,
90,속초,2016-02-01 06:00,1.5,
90,속초,2016-02-01 09:00,1.5,
90,속초,2016-02-01 12:00,1,
90,속초,2016-02-01 15:00,1,
90,속초,2016-02-01 18:00,1,
90,속초,2016-02-01 21:00,1,
90,속초,2016-02-02 00:00,1,
90,속초,2016-02-02 03:00,1,
90,속초,2016-02-02 06:00,1,
90,속초,2016-02-02 09:00,1,
90,속초,2016-02-02 12:00,.5,
90,속초,2016-02-02 15:00,0,
90,속초,2016-02-02 18:00,0,
90,속초,2016-02-02 21:00,0,
90,속초,2016-02-03 00:00,0,
90,속초,2016-02-03 03:00,0,
90,속초,2016-02-03 06:00,0,
90,속초,2016-02-03 09:00,0,
90,속초,2016-02-03 12:00,0,
90,속초,2016-02-06 09:00,0,
90,속초,2016-02-06 10:00,0,
90,속초,2016-02-06 11:00,0,
90,속초,2016-02-06 12:00,1,
90,속초,2016-02-06 13:00,1.5,
90,속초,2016-02-06 14:00,3.5,
90,속초,2016-02-06 15:00,4.5,
90,속초,2016-02-06 16:00,5,
